Nome da Empresa;Categoria;website;Qtd Funcionários;Data da Fundação;Localização
toorin;Tecnologia da informação e serviços;http://toorin.io;2-10;2019;Rua Dr Carlos Halfeld, 10, Niterói, Rio de Janeiro 24230310,
Ligo;Tecnologia da informação e serviços;http://www.ligohub.com;2-10;2019;Belo Horizonte, MG
STEMativa;Tecnologia da informação e serviços;https://stemativa.com.br;2-10;2021;São Paulo, SP
Itvisor;Tecnologia da informação e serviços;http://www.itvisor.com.br;0;2017;Alameda dos Maracatins, 1217, 9º andar, São Paulo, SP 04089-014,
RDS Digital;Tecnologia da informação e serviços;http://www.rdsdigital.com.br;11-50;2014;Rua Tenente Gomes Ribeiro, 182, São Paulo, SP 04038040,
Omegaworks Soluções em TI;Tecnologia da informação e serviços;http://www.omegaworks.com.br/;11-50;2011;Sem informação
My Site Area;Tecnologia da informação e serviços;https://mysitearea.net;11-50;Sem informação;Avenida Paulista 1842, 17º, São Paulo, São Paulo 01310-923,
Indexis;Tecnologia da informação e serviços;http://indexis.digital;11-50;2012;Avenida Goiás 1935, Sala 1206, Jataí, Goiás 75800402,
iHealth Group;Tecnologia da informação e serviços;http://www.ihealthgroup.com.br;11-50;2016;Avenida Paulista, Avenida Paulista, 1636 - conjunto 4, 15 andar - Cerqueira César,, São Paulo, São Paulo
DATAHUB;Tecnologia da informação e serviços;http://www.datahub.net.br;2-10;2020;Rua Hilda del Nero Bisquolo, 12 andar, sala 1202, Jundiaí, São Paulo 13208-703,
Replay4.me;Tecnologia da informação e serviços;http://replay4.me;0;2014;Av. dos Vinhedos, 200 - Morada da Colina, Gávea Office, Uberlândia, Minas Gerais 38411-159,
X-ONE IT;Tecnologia da informação e serviços;http://www.x-oneit.com;11-50;Sem informação;Av. Nações Unidas, 18801, Sala 1615, São Paulo, SP 04597100,
BizAgility Consultoria e Gestão Ágil;Tecnologia da informação e serviços;http://www.BizAgility.com.br;2-10;2020;Rio de Janeiro, RJ
HS&Evolutione;Tecnologia da informação e serviços;http://www.hsevolutione.com;2-10;2017;Rua Benta Pereira,204, torre 1 , SAO PAULO , SAO PAULO 02451000,
Avila's Qualidade de Software;Tecnologia da informação e serviços;http://www.avilasqualidadesoftware.com.br;11-50;2018;Avenida Alphaville, Remoto, Barueri, São Paulo
INNFOCUS BR;Tecnologia da informação e serviços;http://www.innfocus.com.br;0;2016;Alameda Campinas 977, 4o andar, são paulo, SP 01404-001,
Orcas - Omnichannel Experience;Tecnologia da informação e serviços;http://www.orcas.com.br;2-10;2020;São Paulo, SP
NexTVision. Sistemas Digitais de Televisão Ltda.;Tecnologia da informação e serviços;http://www.nextvision.com.br;11-50;2004;São Paulo,
ITExperts;Tecnologia da informação e serviços;https://www.itexperts.com.br;2-10;2016;Curitiba, PR 80630150,
WINTEC INFORMÁTICA E CONSULTORIA LTDA;Tecnologia da informação e serviços;https://www.wintecinformatica.com.br;2-10;2003;Avenida Paulista 1636, conjunto 4, 15 andar - Cerqueira César, São Paulo, 01311-200,
